zip,premium,state
99203,"$1,068",Washington
99204,"$1,074",Washington
99205,"$1,069",Washington
99206,"$1,070",Washington
99207,"$1,083",Washington
99208,"$1,063",Washington
99212,"$1,081",Washington
99216,"$1,082",Washington
99217,"$1,077",Washington
99218,"$1,038",Washington
99223,"$1,077",Washington
99224,"$1,035",Washington
99301,"$1,201",Washington
99320,"$1,197",Washington
99321,"$1,219",Washington
99322,"$1,156",Washington
99323,"$1,157",Washington
99324,"$1,124",Washington
99326,"$1,202",Washington
99328,"$1,219",Washington
99329,"$1,160",Washington
99330,"$1,198",Washington
99333,"$1,256",Washington
99335,"$1,191",Washington
99336,"$1,198",Washington
99337,"$1,203",Washington
99338,"$1,199",Washington
99341,"$1,207",Washington
99343,"$1,211",Washington
99344,"$1,207",Washington
99345,"$1,199",Washington
99346,"$1,210",Washington
99347,"$1,218",Washington
99348,"$1,155",Washington
99349,"$1,243",Washington
99350,"$1,187",Washington
99352,"$1,190",Washington
99353,"$1,194",Washington
99354,"$1,193",Washington
99356,"$1,166",Washington
99357,"$1,222",Washington
99359,$0,Washington
99360,"$1,136",Washington
99361,"$1,159",Washington
99362,"$1,133",Washington
99363,"$1,139",Washington
99371,"$1,214",Washington
99401,"$1,188",Washington
99402,"$1,176",Washington
99403,"$1,167",Washington
